rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
278,Juan De Dios Pantoja,23600000,2135644776.0,Entertainment,Juan De Dios Pantoja,226,Mexico,MX,People,4529.0,11.0,10.0,46862000.0,11700.0,187400.0,140600.0,2200000.0,200000.0,2014.0,Jun,9.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
281,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,23600000,7920637200.0,Film & Animation,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1251,United Kingdom,GB,Film,668.0,12.0,19.0,53589000.0,13400.0,214400.0,160800.0,2600000.0,100000.0,2014.0,Jul,28.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
282,Jelly,23500000,14777034543.0,Gaming,Jelly,6066,United Kingdom,GB,Games,229.0,13.0,20.0,41669000.0,10400.0,166700.0,125000.0,2000000.0,,2014.0,May,27.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
283,Miss Katy,23500000,14696994366.0,People & Blogs,Miss Katy,1044,United Kingdom,GB,Entertainment,235.0,13.0,76.0,59629000.0,14900.0,238500.0,178900.0,2900000.0,,2014.0,Nov,17.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
291,GMM GRAMMY OFFICIAL,23100000,25579831081.0,Music,GMM GRAMMY OFFICIAL,15462,Thailand,TH,Music,68.0,4.0,81.0,130233000.0,32600.0,520900.0,390700.0,6300000.0,,2010.0,Nov,8.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
295,Tsuriki Show,23000000,31494513067.0,Entertainment,Tsuriki Show,2905,Germany,DE,Comedy,34.0,1.0,15.0,756717000.0,189200.0,3000000.0,2300000.0,36300000.0,800000.0,2019.0,Jul,10.0,70.2,83132799.0,3.04,64324835.0,51.165691,10.451526
302,BabyBus - Canciones Infantiles & Videos para Niï¿½ï,22900000,13206471140.0,Education,BabyBus - Canciones Infantiles & Videos paraï¿½,1251,Mexico,MX,Education,278.0,12.0,17.0,136821000.0,34200.0,547300.0,410500.0,6600000.0,200000.0,2018.0,Mar,19.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
321,Sagawa /ï¿½ï¿½ï¿½,22000000,18347969186.0,Entertainment,Sagawa /ï¿½ï¿½ï¿½,6274,Japan,JP,Entertainment,144.0,3.0,88.0,711254000.0,177800.0,2800000.0,2100000.0,34100000.0,800000.0,2021.0,Feb,13.0,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924
325,Disney Latinoamï¿½ï¿½,21900000,20657571751.0,Entertainment,disneylatinoamerica,116,Mexico,MX,Music,1277277.0,2973.0,4085.0,4719.0,1.0,19.0,14.0,227.0,,2008.0,Apr,7.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
328,Dua Lipa,21800000,11288359365.0,Music,Dua Lipa,164,United Kingdom,GB,Music,368.0,14.0,87.0,128047000.0,32000.0,512200.0,384100.0,6100000.0,100000.0,2011.0,Feb,5.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
329,OneDirectionVEVO,21800000,12140232004.0,Music,OneDirectionVEVO,266,United Kingdom,GB,Music,322.0,14.0,87.0,51134000.0,12800.0,204500.0,153400.0,2500000.0,,2010.0,Dec,4.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
333,ZAMZAM ELECTRONICS TRADING,21700000,8507818877.0,,ZAMZAM ELECTRONICS TRADING,15126,United Arab Emirates,AE,People,608.0,4.0,14.0,1598000000.0,399600.0,6400000.0,4800000.0,76700000.0,3400000.0,2020.0,Dec,19.0,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
338,Tlnovelas,21500000,15013096899.0,News & Politics,tlnovelas,158,Mexico,MX,Entertainment,1936958.0,2063.0,2940.0,15459.0,4.0,62.0,46.0,742.0,,2014.0,Jan,2.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
341,YOLO,21400000,1573058816.0,Comedy,YOLO,0,Germany,DE,,4057944.0,3810.0,,,0.0,0.0,0.0,0.0,5.0,2013.0,Jun,11.0,70.2,83132799.0,3.04,64324835.0,51.165691,10.451526
350,GMA Public  Affairs,21200000,11364908616.0,Entertainment,GMA Public  Affairs,31989,Philippines,PH,News,359.0,4.0,7.0,142317000.0,35600.0,569300.0,427000.0,6800000.0,200000.0,2009.0,Aug,8.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
352,Baim Paula,21100000,4526271677.0,People & Blogs,Baim Paula,2325,Indonesia,ID,Entertainment,1583.0,8.0,94.0,26974000.0,6700.0,107900.0,80900.0,1300000.0,100000.0,2016.0,Jun,4.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
364,Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,20800000,2378448129.0,Education,Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,193,Germany,DE,Education,3914.0,2.0,21.0,29269000.0,7300.0,117100.0,87800.0,1400000.0,100000.0,2013.0,Jul,9.0,70.2,83132799.0,3.04,64324835.0,51.165691,10.451526
368,tuzelity SHUFFLE,20700000,8658941531.0,People & Blogs,tuzelity SHUFFLE,889,Russia,RU,People,570.0,3.0,18.0,552266000.0,138100.0,2200000.0,1700000.0,26500000.0,1600000.0,2015.0,Oct,26.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
370,Deddy Corbuzier,20600000,4956090094.0,Entertainment,deddycorbuzier,15,Indonesia,ID,Entertainment,3539124.0,4044.0,6217.0,85.0,0.02,0.34,0.26,4.0,1.0,2007.0,Jul,23.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
373,Mnet K-POP,20500000,15038593883.0,Entertainment,Mnet K-POP,33229,South Korea,KR,Entertainment,220.0,7.0,99.0,158540000.0,39600.0,634200.0,475600.0,7600000.0,100000.0,2006.0,Mar,9.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
382,Got Talent Global,20300000,2441288701.0,Entertainment,Got Talent Global,1245,United Kingdom,GB,Entertainment,3750.0,15.0,101.0,86457000.0,21600.0,345800.0,259400.0,4100000.0,100000.0,2013.0,Jan,31.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
384,BabyBus - Cerita & Lagu Anak-anak,20300000,11819051552.0,Education,BabyBus - Cerita & Lagu Anak-anak,875,Indonesia,ID,Education,332.0,10.0,22.0,112768000.0,28200.0,451100.0,338300.0,5400000.0,100000.0,2019.0,Jan,14.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
386,Noor Stars,20200000,2764127969.0,Comedy,Noor Stars,693,United Arab Emirates,AE,Entertainment,3238.0,5.0,102.0,15556000.0,3900.0,62200.0,46700.0,746700.0,100000.0,2014.0,Apr,24.0,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
391,MiawAug,20200000,6098644584.0,Gaming,MiawAug,3713,Indonesia,ID,Games,1023.0,11.0,27.0,64489000.0,16100.0,258000.0,193500.0,3100000.0,200000.0,2014.0,Mar,15.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
403,Gordon Ramsay,20000000,3875172235.0,Entertainment,Gordon Ramsay,1527,United Kingdom,GB,Entertainment,2001.0,16.0,104.0,39228000.0,9800.0,156900.0,117700.0,1900000.0,200000.0,2006.0,Apr,29.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
407,HaerteTest,19800000,3234880084.0,Science & Technology,HaerteTest,1411,Germany,DE,Tech,2583.0,3.0,6.0,5650000.0,1400.0,22600.0,17000.0,271200.0,,2011.0,Sep,6.0,70.2,83132799.0,3.04,64324835.0,51.165691,10.451526
413,Britain's Got Talent,19700000,11323617496.0,Entertainment,Britain's Got Talent,4225,United Kingdom,GB,Entertainment,364.0,17.0,106.0,54192000.0,13500.0,216800.0,162600.0,2600000.0,100000.0,2008.0,Apr,12.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
414,SCTV,19700000,9808676159.0,Entertainment,SCTV,267,United Kingdom,GB,Music,2831648.0,3695.0,4668.0,336.0,0.08,1.0,1.0,16.0,,2006.0,Mar,25.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
422,JukiLop,19400000,1577859332.0,People & Blogs,JukiLop,85,Mexico,MX,People,6674.0,14.0,22.0,2382000.0,595.0,9500.0,7100.0,114300.0,100000.0,2017.0,Sep,15.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
424,FIFA,19400000,5529131886.0,Sports,FIFA,10728,Switzerland,CH,Sports,1186.0,1.0,5.0,58863000.0,14700.0,235500.0,176600.0,2800000.0,100000.0,2006.0,Sep,6.0,59.6,8574832.0,4.58,6332428.0,46.818188,8.227512
435,SUPER SLICK SLIME SAM,19000000,7229175322.0,Howto & Style,SUPER SLICK SLIME SAM,903,Mexico,MX,Howto,786.0,15.0,111.0,123338000.0,30800.0,493400.0,370000.0,5900000.0,200000.0,2018.0,Jan,23.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
438,Calvin Harris,19000000,16014044618.0,Music,Calvin Harris,79,United Kingdom,GB,Music,191.0,18.0,99.0,102410000.0,25600.0,409600.0,307200.0,4900000.0,100000.0,2007.0,Feb,11.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
439,KBS WORLD TV,19000000,15126092508.0,Entertainment,KBS WORLD TV,64496,South Korea,KR,Entertainment,217.0,8.0,111.0,107989000.0,27000.0,432000.0,324000.0,5200000.0,,2007.0,Jan,6.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
440,HiMan,18900000,2855519150.0,People & Blogs,HiMan,375,Russia,RU,Entertainment,3094.0,4.0,112.0,24563000.0,6100.0,98300.0,73700.0,1200000.0,,2014.0,Oct,16.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
442,Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18900000,9813245108.0,Education,Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,719,Mexico,MX,Education,459.0,16.0,24.0,140398000.0,35100.0,561600.0,421200.0,6700000.0,,2018.0,Jan,26.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
444,Sidemen,18800000,5257834105.0,Entertainment,Sidemen,312,United Kingdom,GB,Entertainment,1263.0,19.0,113.0,78158000.0,19500.0,312600.0,234500.0,3800000.0,100000.0,2015.0,Jun,14.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
454,GRAMMY GOLD OFFICIAL,18600000,20196704276.0,Music,GRAMMY GOLD OFFICIAL,6287,Thailand,TH,Music,121.0,5.0,101.0,168597000.0,42100.0,674400.0,505800.0,8100000.0,100000.0,2014.0,Jan,15.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
457,Marmok,18500000,3457618361.0,Gaming,Marmok,374,Russia,RU,Games,2356.0,5.0,32.0,38282000.0,9600.0,153100.0,114800.0,1800000.0,100000.0,2008.0,Apr,27.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
459,Like Nastya Vlog,18500000,8147575884.0,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630.0,5.0,25.0,48947000.0,12200.0,195800.0,146800.0,2300000.0,100000.0,2016.0,Jan,14.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
460,Willie Salim,18500000,4051072188.0,People & Blogs,Willie Salim,679,Indonesia,ID,People,1868.0,13.0,25.0,197369000.0,49300.0,789500.0,592100.0,9500000.0,1600000.0,2014.0,Jan,6.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
463,RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18400000,11544297793.0,Music,RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,3159,Thailand,TH,Music,346.0,6.0,103.0,54133000.0,13500.0,216500.0,162400.0,2600000.0,100000.0,2011.0,Mar,8.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
466,Naisa Alifia Yuriza (N.A.Y),18300000,1606834186.0,People & Blogs,Naisa Alifia Yuriza (N.A.Y),786,Indonesia,ID,Entertainment,6502.0,14.0,117.0,17063000.0,4300.0,68300.0,51200.0,819000.0,,2017.0,Jul,8.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
473,GEN HALILINTAR,18100000,3306242674.0,Entertainment,GEN HALILINTAR,1037,Indonesia,ID,Entertainment,2498.0,15.0,119.0,27312000.0,6800.0,109200.0,81900.0,1300000.0,,2015.0,Mar,4.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
476,officialpsy,18100000,10703830496.0,Music,officialpsy,131,South Korea,KR,Music,393.0,10.0,104.0,64989000.0,16200.0,260000.0,195000.0,3100000.0,,2010.0,Oct,4.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
